Term	es	nes	pval	fdr	gene_set_size	matched_size	genes	DRUG
cluster_2	-0.08158202740633809	-1.5038618772673529	0.07100119664938173	0.2820546854260685	465	262	BTF3,EIF4A2,EIF2S3,RPL13,MBTPS1,SLC20A2,RABGAP1L,HEBP1,IGFBP3,ABCC5,ST3GAL1,TRIM38,SCAMP1,KRCC1,CSNK1A1,TMEM59,GABARAPL1,FXYD3,PLEKHA1,EIF4B,CLIP4,SCRN1,PTTG1IP,RARRES1,SKAP2,SASH1,NACA,DAB2,RPL3,PDCD6,TOX4,ADD3,ITM2B,SAT1,ARL6IP5,PPT1,PPP2R3A,SERINC3,HIST1H1C,SNAP23,EIF3E,NME3,PAIP1,GULP1,GSTK1,STAU1,HEG1,TRAM1,CEBPD,ATF4,SH3BGRL,CAMLG,MIR22HG,SCNN1A,ZFAND5,MLLT4,CD9,SCD,DCAF6,KDELR1,MTUS1,TPT1,TJP1,MYO6,ZFAND6,PCDH7,TP53BP2,COPS2,VGLL1,ATP5G2,FILIP1L,GNPDA1,KIAA1462,DDX17,KRT13,EHBP1,IL13RA1,CD46,BFAR,IGBP1,CTSB,RPS14,KLHL24,OSGIN2,EEF2,ME1,VGLL3,CAST,EIF3H,CTDSPL,KLF5,SH3YL1,UBE2H,WIPI2,TNFSF10,CASP4,DYNLRB1,NFKBIA,TM4SF1,GOLPH3,CHMP1B,ARID5B,PAWR,SCAND1,RAB7A,TCEAL1,UBE2L6,BATF,PGRMC2,VGLL4,HIGD2A,TDP2,IGFBP5,HIST1H2AC,STEAP4,CDK14,SPINT1,RNF13,TSPO,CITED2,PPP1R15A,TAX1BP1,RAB25,ELF3,PDLIM1,GLUL,SLC38A2,TMEM106B,NPC2,MPST,RPL15,TPD52L1,HDLBP,PERP,UBE2D1,RARRES3,ATXN7L3B,KLHDC2,CYBRD1,SRI,PHACTR2,TGFB2,SRRM2,VAMP3,LIMCH1,SQSTM1,RASAL2,ASPH,CCDC6,ECH1,POLR1D,KLK8,ING4,RPL13A,YWHAZ,NTAN1,LAMP2,LCN2,LGALS3,IST1,MAP2,LEPROT,PKP2,MAP4K3,H2AFJ,TTC9,IFI16,PRSS22,CDKN1B,H1FX,EPS8,ATP6V1G1,MXI1,RAB11FIP1,HIST1H2BD,WFDC2,PINK1,ZBED2,HCFC1R1,PIR,EIF3F,PLA2G16,BLVRB,WWC1,MYOF,H1F0,SLC16A4,PNRC1,TRADD,KLK7,HEBP2,COX7A2L,INADL,PDLIM5,BTG1,SERPINB1,APP,ANXA11,INHBB,SPSB3,RNF7,CAV1,CD55,SPTSSA,BPGM,MGST3,EHF,CDC42EP3,QPRT,NR0B1,RPL18,STK3,LYN,EIF1,ASS1,CYB5A,GATA3,KRT19,CD47,UBXN1,TLE1,GLTSCR2,WWP1,KYNU,TACSTD2,NAMPT,PPAP2B,USP3,MAP3K13,CTNND1,MYL12A,LITAF,SNX6,YPEL5,HTATIP2,GPR110,DECR1,KRT18,PALLD,STK38,RHOBTB3,RIPK2,JUN,TBC1D1,TSG101,NENF,COBL,NT5C2,FAM127B,ALDH3A2,NFE2L2,KRT8,CRBN,TMEM159,MVP,MLPH,SERPINB6,CDKN2B,RALGPS2,IL6ST,VAMP8,CHKA	EX-527
cluster_1	-0.10267673502967964	-1.3076060287549274	0.14838709677419354	0.31059198301035307	239	119	CBX6,NCSTN,IGFBP3,PSAP,TTC3,TINAGL1,TMEM59,RPL36,GABARAPL1,UPK2,OBSL1,FOS,RARRES1,DAB2,PABPC3,SRP14,ITM2B,GRN,NME3,CTSH,CIR1,GSTK1,SIK1,CLSTN3,GSN,SH3BGRL,CAMK2N1,NDUFS2,ZFAND5,SERF2,EGR1,WBP5,TRIM29,ANXA4,SEMA3C,PTPRF,TIPARP,MMP14,KRT13,LY6E,CLU,TIMP2,ARFGAP1,ALDH3B1,TACC1,RPL22,NEAT1,IGFBP5,HIST1H2AC,NEDD9,DAPK1,CTSA,LMO4,ASAH1,ALPP,ZKSCAN1,ELF3,EDIL3,ZDHHC7,PDLIM1,GLUL,PTGIS,RNF44,RARRES3,RAB13,TMEM132A,RBP1,FAM114A1,GATA2,CYBRD1,MYH14,MUC1,TAX1BP3,NDRG1,NGFRAP1,DHRS3,TCEAL4,RPL28,CLIC3,XAF1,ADAMTSL4,JUNB,ERGIC3,HCFC1R1,FN1,RPS14P3,FAM134B,RPS28,KLK7,CST6,CTSD,EPS8L2,KLK5,CES2,MUC4,FAM127A,SKIL,GOLGA2,SOX4,TNFRSF21,FBXO2,MAGED2,KRT19,TRAPPC6A,SLC29A3,PCYOX1,LAPTM4A,KRT7,NAMPT,CTNND1,BEST1,TM7SF2,SEZ6L2,TUBA1A,KRT8,CYP1B1,MSLN,SNCG,CDKN2B	EX-527
cluster_4	0.09832253838876272	0.6204235226341762	0.9257606490872211	0.9289445486204125	142	28	ASNS,TBCA,RPL36,H2AFV,CALM3,ALDH2,DNAJB4,ENAH,NMU,DIAPH3,NAP1L1,BUB1,PKP4,MT1X,CACYBP,CLIC4,MTMR12,ZFR,SNHG3,COX8A,GPX3,NUPR1,SMC4,TPM1,PTMS,BEST1,TOP1,CYP1B1	EX-527
cluster_0	0.0769001076958821	0.814719749264307	0.6889419252187748	1.0	275	82	CTBP1,CCDC25,VPS4B,CYFIP1,RNASEH2B,SOD1,CSNK1A1,HINT1,H2AFV,UBQLN2,COX5B,DDX27,SMAP1,ASAP2,NDUFS7,PRDX2,UBE2J1,GRSF1,ATP5H,MAP3K7,NR3C1,MDH1,BNIP3L,TDG,TAOK1,USP14,PTPN11,FNBP1,DIAPH3,PHTF1,WIPF2,CDK2AP2,M6PR,VDAC1,CYB5R3,MRPL33,NDUFA13,TYMS,CEP70,SCFD1,DYNC1I2,PAICS,MEAF6,TMEM14B,SCP2,WWC2,NDUFA5,HNRNPD,GNAS,EIF4EBP2,IGFBP7,HEXB,AXL,VAPB,GOLIM4,NRCAM,ZC3H15,GSTM3,NCF2,H1F0,SMC4,NDUFA4,INHBA,SAP18,GADD45GIP1,CMAS,TPM1,HSPB11,STK3,CCDC85B,AGFG1,GSTM4,MAP7D3,SNX6,POLR2A,IFT57,HSPA4,MYO1B,CYP1B1,LSM4,NOL7,SUMO1	EX-527
cluster_2	0.15527949320817175	2.8866473937426718	0.0	0.0	465	262	GNPDA1,YPEL5,MVP,MXI1,SQSTM1,KLHL24,IGBP1,PNRC1,PINK1,CHMP1B,SPSB3,CEBPD,BTG1,KLHDC2,TSG101,SCD,GABARAPL1,SPINT1,ING4,DAB2,LAMP2,SCAMP1,MBTPS1,LEPROT,EIF4A2,UBXN1,NFKBIA,INADL,ECH1,WIPI2,RAB7A,CD55,SCNN1A,ST3GAL1,QPRT,STK38,KRT8,IST1,GULP1,BTF3,RAB11FIP1,SRRM2,ZFAND5,HCFC1R1,PERP,OSGIN2,KYNU,RIPK2,CD46,TCEAL1,VGLL3,CAMLG,RNF13,GPR110,KIAA1462,MAP4K3,TMEM59,CDKN1B,TPT1,ELF3,TOX4,TACSTD2,HIST1H2AC,PPAP2B,TP53BP2,NENF,TTC9,WWP1,TMEM159,PDCD6,NPC2,ASPH,BPGM,SLC38A2,MAP2,CTSB,ITM2B,ME1,HTATIP2,RABGAP1L,ALDH3A2,GATA3,CITED2,CD9,TBC1D1,SERINC3,SPTSSA,UBE2D1,HIST1H2BD,GLTSCR2,COX7A2L,UBE2L6,MGST3,UBE2H,MIR22HG,FAM127B,IGFBP5,RPL15,PGRMC2,PAWR,CDKN2B,SNAP23,DYNLRB1,NR0B1,MYO6,NT5C2,RASAL2,BLVRB,EIF4B,APP,WFDC2,KRT19,ASS1,ARID5B,TRIM38,ATP5G2,KLF5,ZFAND6,CAST,IL6ST,PPT1,PAIP1,DDX17,NTAN1,CYB5A,EIF3F,PPP1R15A,MLPH,SAT1,CD47,CRBN,ZBED2,MAP3K13,ATF4,TNFSF10,STK3,GLUL,CTDSPL,YWHAZ,CTNND1,PIR,STEAP4,CYBRD1,H1F0,TDP2,LITAF,MYOF,HEG1,TAX1BP1,EPS8,SERPINB1,CCDC6,FXYD3,ATP6V1G1,KRT18,SCAND1,H2AFJ,RPL13A,PLA2G16,NFE2L2,FILIP1L,SKAP2,VAMP8,MPST,ABCC5,PRSS22,SRI,HDLBP,PKP2,CDK14,BATF,TRAM1,MLLT4,RARRES3,TLE1,SH3BGRL,EIF1,CHKA,ANXA11,PPP2R3A,SCRN1,LCN2,DECR1,CASP4,IFI16,BFAR,POLR1D,DCAF6,RPL13,PDLIM5,STAU1,CSNK1A1,LYN,KRCC1,VGLL4,TRADD,LGALS3,RAB25,ADD3,LIMCH1,MTUS1,SASH1,SLC16A4,GOLPH3,RALGPS2,PALLD,RARRES1,NME3,IL13RA1,RPS14,TSPO,TPD52L1,RPL3,PCDH7,VGLL1,HEBP1,EIF2S3,HIGD2A,PHACTR2,INHBB,TGFB2,CLIP4,ARL6IP5,PTTG1IP,IGFBP3,KDELR1,PLEKHA1,NACA,SH3YL1,MYL12A,HIST1H1C,TMEM106B,EEF2,TM4SF1,TJP1,EIF3E,NAMPT,EIF3H,ATXN7L3B,RPL18,USP3,RHOBTB3,EHF,VAMP3,WWC1,GSTK1,COBL,KRT13,JUN,CAV1,H1FX,KLK7,EHBP1,CDC42EP3,SERPINB6,SLC20A2,KLK8,HEBP2,COPS2,SNX6,RNF7,PDLIM1	HG-14-8-02
cluster_7	-0.2244746639742713	-2.498403792661713	0.0002008838891120932	0.0004986204833294552	371	91	NUPR1,GSTM4,ERC1,NF2,MAPK1IP1L,DUSP4,PKP4,DIAPH3,NPAT,RIF1,MTCH1,ICMT,CTBP2,RTF1,MEX3D,MSH6,MFAP5,PRKDC,TIMELESS,ING2,RFC1,ADAMTS12,GLO1,INHBA,CREBZF,CLIC4,BOK,FN1,IGFBP7,FARP2,CCDC85B,UNKL,TPD52,RB1,H2AFX,RAB32,STXBP6,PEX5,PAICS,DOCK10,XRCC2,HNRNPUL2,CEP57,PLCB4,EPAS1,GADD45A,PPP5C,HTATSF1,COMMD4,CYP1B1,SMC6,GOLIM4,NAP1L1,USP14,ITM2C,MAP1B,AXL,ROCK2,TYMS,MBD4,UBE2I,ENAH,VKORC1,CPA4,NUP210,H2AFY,SMCHD1,MATN2,TWSG1,CLSPN,CDC42EP1,NNT,PELP1,DDX11,MAZ,MCAM,XRCC3,NCAPH2,SIVA1,DIO2,RANBP1,IDH2,TPM1,DNAJC1,DGKD,RBM25,SLC7A1,PSIP1,RRP1B,FLNC,PLOD1	HG-14-8-02
cluster_1	0.17773403067519786	2.2761582889550325	0.0016080402010050252	0.0016044389477554567	239	119	TIPARP,TRAPPC6A,CTSA,TM7SF2,TCEAL4,SRP14,GABARAPL1,CTSD,DAB2,CIR1,SNCG,CLSTN3,SKIL,GRN,PSAP,KRT8,EPS8L2,PTGIS,ANXA4,LAPTM4A,RNF44,SERF2,ZFAND5,HCFC1R1,NEAT1,FBXO2,CES2,GSN,TMEM59,ELF3,HIST1H2AC,ADAMTSL4,MYH14,TACC1,GOLGA2,MAGED2,ITM2B,TTC3,BEST1,PCYOX1,FAM127A,TUBA1A,SLC29A3,DAPK1,IGFBP5,FAM134B,CLIC3,RPS28,MUC1,CDKN2B,OBSL1,ZKSCAN1,KRT19,ERGIC3,NDRG1,XAF1,ZDHHC7,RAB13,GLUL,CTNND1,ASAH1,CYBRD1,FN1,ALPP,TRIM29,SOX4,MMP14,ALDH3B1,DHRS3,CAMK2N1,RPL28,ARFGAP1,FOS,NEDD9,GATA2,RARRES3,SH3BGRL,PTPRF,TAX1BP3,CST6,NCSTN,PABPC3,MUC4,WBP5,TNFRSF21,CBX6,TIMP2,RPS14P3,FAM114A1,LY6E,CYP1B1,RARRES1,NME3,CLU,EDIL3,SEZ6L2,SEMA3C,TINAGL1,KRT7,JUNB,NGFRAP1,IGFBP3,NDUFS2,SIK1,UPK2,CTSH,NAMPT,KLK5,GSTK1,KRT13,KLK7,RPL22,RPL36,MSLN,LMO4,TMEM132A,EGR1,PDLIM1,RBP1	HG-14-8-02
cluster_0	-0.18654126301533017	-2.0019541481968646	0.004981071926678621	0.007878203636605392	275	82	PHTF1,BNIP3L,HEXB,GSTM4,UBQLN2,GNAS,HNRNPD,NCF2,POLR2A,FNBP1,DIAPH3,NDUFA5,SUMO1,NRCAM,ZC3H15,AGFG1,PRDX2,TAOK1,SAP18,MYO1B,UBE2J1,VAPB,CEP70,INHBA,STK3,M6PR,H1F0,IGFBP7,CCDC85B,SMAP1,MAP7D3,TDG,GSTM3,WIPF2,SMC4,DYNC1I2,ASAP2,PAICS,CCDC25,MDH1,MEAF6,CYFIP1,CSNK1A1,CYB5R3,LSM4,GRSF1,MAP3K7,CYP1B1,GOLIM4,COX5B,WWC2,EIF4EBP2,HSPB11,USP14,CMAS,NR3C1,GADD45GIP1,AXL,SOD1,TYMS,HSPA4,PTPN11,DDX27,VDAC1,NOL7,CDK2AP2,VPS4B,SCFD1,NDUFA13,H2AFV,CTBP1,RNASEH2B,ATP5H,HINT1,IFT57,TMEM14B,NDUFA4,TPM1,SNX6,SCP2,NDUFS7,MRPL33	HG-14-8-02
cluster_3	0.11357512953367548	1.8181721984524344	0.015139281388776746	0.015877260420496708	299	193	MVP,PNRC1,CAPG,BTG1,BMPR2,OPTN,GABARAPL1,ING4,SERINC1,CIR1,LRP10,MBTPS1,PRSS8,SKIL,N4BP2L2,GRN,CDIPT,CD55,PSAP,SCNN1A,EIF3L,FOXO3,QPRT,MAP2K7,PERP,NEAT1,KDM5B,GSN,S100A14,RNF13,GPR110,CD63,PAM,TMEM59,EPB41L1,ERP44,ELF3,MYO1C,TACSTD2,HIST1H2AC,ABCC1,MYH14,PDCD6,SPTBN1,TACC1,SLC38A2,ITM2B,SLC35E1,RABGAP1L,GATA3,CSNK1D,CITED2,CD9,BEST1,UBE2D1,HIST1H2BD,TFPI,GLTSCR2,PPP4R2,TMC5,MGST3,SMARCA1,UBE2H,FAM134B,TRIM2,PAWR,FBXO9,SNAP23,CCNL1,MYO6,ZKSCAN1,MGAT4B,LAMP1,WFDC2,KRT19,ASS1,DSP,TRIM38,KLF5,PPL,RAP2B,MBNL2,CD59,PPP1R15A,MLPH,MAP4K5,SVIL,LMO7,SAT1,NPEPPS,CALCOCO2,DAZAP2,FZD2,MST4,CYBRD1,MYOF,ALDH7A1,HEG1,TAF7,EPS8,SERPINB1,FXYD3,PCYT1A,BRD8,RAD50,SOX4,H2AFJ,RPL13A,ALDH3B1,DHRS3,ABI1,MYCBP2,PLA2G16,BSG,CADM4,CAMK2N1,FILIP1L,DECR2,PHF20,SRI,EPN2,NEDD9,PKP2,BATF,KAT6B,RARRES3,TLE1,SH3BGRL,ANXA11,TMEM66,REEP5,LCN2,CASP4,ERP29,PDLIM5,PPP1R12A,RUFY1,DNAJB6,LGALS3,NINJ1,AHNAK,KLHDC3,TIMP2,APOBEC3C,RNF24,NR1D2,PPCS,NME3,GNAQ,CAV2,HIPK2,ADAM10,LRRC42,SEZ6L2,TSPAN3,PCDH7,JUNB,ACBD3,PHACTR2,PARP4,TGFB2,STX16,PTTG1IP,IGFBP3,PLEKHA1,HIST1H1C,EFR3A,TIMP3,TMEM106B,CTSH,REST,PPP1CB,LTBP3,RHOBTB3,TFG,GOLGA3,GSTK1,RTN3,KRT13,GDE1,CUL5,REPIN1,KLK7,CDC42EP3,PTOV1,KLK8,RNF216,COPS2,AUP1,ATP5O,ARPC3,PDLIM1,GBAS	HG-14-8-02
cluster_4	-0.22131213157705423	-1.391240177588213	0.11449769400441147	0.11102616095469202	142	28	NUPR1,PKP4,DIAPH3,BUB1,BEST1,PTMS,CLIC4,DNAJB4,MT1X,TBCA,SNHG3,SMC4,ZFR,CACYBP,CALM3,CYP1B1,ALDH2,NAP1L1,MTMR12,ENAH,GPX3,TOP1,H2AFV,NMU,RPL36,TPM1,COX8A,ASNS	HG-14-8-02
cluster_0	-0.2811537202555494	-2.973572205956429	0.0	0.0	275	82	UBQLN2,GNAS,GSTM4,TAOK1,HEXB,CYB5R3,CMAS,PHTF1,CSNK1A1,HNRNPD,CYFIP1,CCDC25,SAP18,DYNC1I2,LSM4,SCP2,ZC3H15,CEP70,HSPB11,H1F0,NDUFA5,NCF2,POLR2A,EIF4EBP2,M6PR,AGFG1,PRDX2,TYMS,CCDC85B,USP14,NRCAM,DIAPH3,COX5B,GRSF1,IGFBP7,CDK2AP2,NR3C1,MDH1,FNBP1,MYO1B,STK3,HSPA4,VPS4B,NDUFA13,NOL7,NDUFS7,ATP5H,SCFD1,MAP3K7,DDX27,SMC4,HINT1,GSTM3,VAPB,UBE2J1,BNIP3L,INHBA,MAP7D3,SUMO1,WIPF2,SMAP1,GADD45GIP1,RNASEH2B,VDAC1,PAICS,MEAF6,TMEM14B,PTPN11,NDUFA4,H2AFV,CTBP1,GOLIM4,MRPL33,ASAP2,TDG,IFT57,CYP1B1,SOD1,TPM1,WWC2,AXL,SNX6	HG-9-91-01
cluster_2	0.12077059319853414	2.2538701504549485	0.0018233387358184765	0.0029988004798080768	465	262	CEBPD,HIST1H2AC,ECH1,YPEL5,TCEAL1,SCAMP1,CTDSPL,MVP,MBTPS1,CHMP1B,SCNN1A,PERP,HDLBP,IGBP1,KRT8,ELF3,MLPH,TRIM38,KRT13,HIST1H2BD,RAB11FIP1,KLHL24,SPTSSA,TSG101,DECR1,INADL,BTG1,SPINT1,ANXA11,RARRES3,ASS1,UBXN1,LCN2,EHF,NENF,VAMP8,CAST,MAP3K13,PNRC1,QPRT,GATA3,SLC38A2,ARID5B,TNFSF10,DAB2,PDCD6,H2AFJ,PINK1,RABGAP1L,MIR22HG,ALDH3A2,HIST1H1C,MPST,GABARAPL1,GPR110,WFDC2,SQSTM1,ING4,WIPI2,LEPROT,TBC1D1,SERPINB1,COX7A2L,RIPK2,APP,CD55,VGLL3,STEAP4,ST3GAL1,CTNND1,TMEM159,CASP4,MXI1,WWC1,MAP2,CSNK1A1,KLF5,GOLPH3,GULP1,LAMP2,IST1,MGST3,STK38,SPSB3,KRT19,TAX1BP1,TACSTD2,MLLT4,RHOBTB3,SERINC3,MYOF,KLHDC2,SRRM2,NT5C2,PLEKHA1,DDX17,CDKN1B,ASPH,MTUS1,VGLL4,HTATIP2,UBE2D1,EIF4A2,PPAP2B,FAM127B,ITM2B,IGFBP5,TOX4,MYO6,TPT1,ZBED2,ME1,FXYD3,CCDC6,ZFAND5,EIF3F,NR0B1,CD46,GLUL,CAMLG,UBE2H,ABCC5,PPP2R3A,EHBP1,GSTK1,ADD3,BPGM,BATF,PAIP1,CD47,KRCC1,TMEM59,UBE2L6,ZFAND6,BFAR,PKP2,KDELR1,LITAF,FILIP1L,CITED2,H1F0,TTC9,CRBN,CYB5A,SLC20A2,RNF13,ATP5G2,CTSB,RASAL2,IFI16,SCAND1,TRAM1,COBL,SRI,TRADD,SNAP23,HIGD2A,SCD,STAU1,CD9,PCDH7,CDKN2B,IGFBP3,PAWR,ATP6V1G1,NFE2L2,RAB25,RARRES1,STK3,SCRN1,HEBP2,KIAA1462,OSGIN2,PDLIM5,DYNLRB1,MAP4K3,DCAF6,KYNU,TLE1,BLVRB,SKAP2,RAB7A,SLC16A4,TSPO,TPD52L1,LIMCH1,TDP2,RPL18,KRT18,HCFC1R1,PALLD,NAMPT,IL13RA1,RPL15,SH3YL1,ATXN7L3B,HEBP1,BTF3,CDK14,TGFB2,RPS14,PGRMC2,VGLL1,ATF4,PLA2G16,CYBRD1,WWP1,LGALS3,RPL13,EIF4B,KLK8,SH3BGRL,EIF2S3,RPL3,INHBB,CHKA,EPS8,YWHAZ,TMEM106B,GLTSCR2,TP53BP2,NTAN1,NME3,PPP1R15A,PIR,JUN,RNF7,SERPINB6,COPS2,SAT1,HEG1,EIF3H,VAMP3,GNPDA1,ARL6IP5,PRSS22,RALGPS2,KLK7,EEF2,TM4SF1,LYN,EIF1,NACA,PTTG1IP,TJP1,MYL12A,PHACTR2,PPT1,NPC2,EIF3E,POLR1D,H1FX,CAV1,SASH1,RPL13A,CLIP4,IL6ST,PDLIM1,USP3,CDC42EP3,SNX6,NFKBIA	HG-9-91-01
cluster_4	-0.3364020085874364	-2.1232035947183903	0.002443494196701283	0.004101640656262505	142	28	NUPR1,ENAH,ALDH2,PTMS,BEST1,CACYBP,DIAPH3,TBCA,BUB1,GPX3,CALM3,PKP4,CLIC4,SMC4,ZFR,MT1X,SNHG3,DNAJB4,NMU,MTMR12,COX8A,H2AFV,ASNS,NAP1L1,TOP1,CYP1B1,RPL36,TPM1	HG-9-91-01
cluster_3	0.11989637305699269	1.918800690332872	0.009903032803796162	0.011895241903238705	299	193	HIST1H2AC,MVP,OPTN,MBTPS1,SCNN1A,PERP,ELF3,MYO1C,MLPH,S100A14,MYCBP2,TRIM38,KRT13,HIST1H2BD,CAPG,EPB41L1,PAM,MAP2K7,BTG1,PPP1CB,ANXA11,RARRES3,ASS1,LCN2,MYH14,CIR1,TMC5,FAM134B,PNRC1,QPRT,EPN2,GATA3,SLC38A2,SLC35E1,PDCD6,H2AFJ,CAMK2N1,RABGAP1L,HIST1H1C,GABARAPL1,GPR110,WFDC2,TRIM2,ING4,SERPINB1,ALDH7A1,KAT6B,CD55,RUFY1,FBXO9,SPTBN1,N4BP2L2,CASP4,SERINC1,SVIL,ZKSCAN1,BMPR2,SMARCA1,RAD50,SKIL,KLF5,NEAT1,MGST3,DSP,TACC1,KRT19,TACSTD2,RHOBTB3,BSG,CADM4,PSAP,CALCOCO2,PPL,MYOF,EIF3L,PLEKHA1,HIPK2,GOLGA3,MGAT4B,UBE2D1,ITM2B,SOX4,RNF24,GSN,TIMP2,CDIPT,MYO6,FXYD3,CSNK1D,GNAQ,BEST1,UBE2H,GSTK1,BATF,TIMP3,TMEM59,ALDH3B1,PKP2,FILIP1L,CITED2,REST,REEP5,LRRC42,GDE1,RNF13,NEDD9,PCYT1A,PPP4R2,RAP2B,PPCS,SRI,LRP10,SNAP23,LMO7,CD9,PCDH7,RTN3,DECR2,MST4,CD59,IGFBP3,CUL5,RNF216,PAWR,CAV2,TFPI,TMEM66,DNAJB6,ACBD3,FOXO3,PDLIM5,PHF20,BRD8,GRN,TLE1,ERP29,KLHDC3,PTOV1,TAF7,TFG,CD63,PARP4,PRSS8,TGFB2,STX16,ABI1,CCNL1,ADAM10,ERP44,PLA2G16,AUP1,CYBRD1,DHRS3,PPP1R12A,TSPAN3,NINJ1,LGALS3,LTBP3,KLK8,DAZAP2,SH3BGRL,KDM5B,ABCC1,EPS8,ARPC3,TMEM106B,GLTSCR2,MBNL2,NME3,PPP1R15A,APOBEC3C,COPS2,SEZ6L2,EFR3A,SAT1,HEG1,NR1D2,KLK7,PTTG1IP,ATP5O,AHNAK,JUNB,MAP4K5,PHACTR2,LAMP1,GBAS,CTSH,RPL13A,PDLIM1,REPIN1,NPEPPS,FZD2,CDC42EP3	HG-9-91-01
cluster_7	-0.1490728303689924	-1.6763271412777723	0.02946518668012109	0.02954515139389089	371	91	DUSP4,GSTM4,NUPR1,NUP210,ITM2C,NPAT,NF2,MFAP5,CREBZF,ENAH,FARP2,CLSPN,DDX11,NCAPH2,XRCC2,NNT,CTBP2,H2AFX,DNAJC1,MTCH1,EPAS1,ICMT,HTATSF1,ADAMTS12,RFC1,IDH2,ERC1,MAPK1IP1L,RB1,RIF1,ING2,SMC6,CEP57,GLO1,PRKDC,TYMS,PPP5C,CCDC85B,DOCK10,USP14,DIAPH3,MEX3D,IGFBP7,PEX5,RANBP1,MSH6,ROCK2,MBD4,STXBP6,PELP1,PKP4,XRCC3,SLC7A1,RAB32,SIVA1,BOK,MATN2,PLCB4,COMMD4,CLIC4,UBE2I,TIMELESS,FN1,TPD52,MAP1B,H2AFY,MAZ,INHBA,HNRNPUL2,RRP1B,VKORC1,CPA4,RTF1,TWSG1,PAICS,MCAM,CDC42EP1,UNKL,FLNC,GOLIM4,NAP1L1,SMCHD1,DGKD,DIO2,PLOD1,CYP1B1,PSIP1,GADD45A,RBM25,TPM1,AXL	HG-9-91-01
cluster_1	0.09324499030381225	1.185030917307468	0.24252030909451158	0.24293615886978542	239	119	HIST1H2AC,PCYOX1,EPS8L2,KRT8,ELF3,KRT13,TM7SF2,MUC1,CTSD,CLSTN3,CES2,RARRES3,SNCG,MYH14,CIR1,FAM134B,FAM127A,TTC3,TRAPPC6A,DAB2,OBSL1,CAMK2N1,GABARAPL1,MAGED2,SLC29A3,SIK1,CTNND1,TIPARP,FOS,MUC4,ZKSCAN1,SKIL,TCEAL4,NEAT1,MSLN,TACC1,KRT19,WBP5,GOLGA2,PSAP,CTSA,RAB13,TRIM29,ITM2B,IGFBP5,SOX4,GSN,TIMP2,ANXA4,SERF2,ZFAND5,ERGIC3,TUBA1A,GLUL,BEST1,RNF44,RPS28,GSTK1,FBXO2,XAF1,TNFRSF21,TMEM59,ALDH3B1,ASAH1,GATA2,SRP14,PTGIS,PTPRF,NEDD9,KRT7,FAM114A1,NCSTN,CDKN2B,IGFBP3,CLIC3,NDUFS2,NGFRAP1,ALPP,RARRES1,GRN,LAPTM4A,ARFGAP1,UPK2,HCFC1R1,NAMPT,DAPK1,RPL22,CBX6,RPL28,CLU,FN1,EGR1,ZDHHC7,TMEM132A,CYBRD1,ADAMTSL4,DHRS3,SH3BGRL,TAX1BP3,NME3,LY6E,NDRG1,LMO4,RPS14P3,MMP14,SEZ6L2,KLK7,RBP1,SEMA3C,JUNB,PABPC3,CTSH,TINAGL1,EDIL3,KLK5,CYP1B1,RPL36,PDLIM1,CST6	HG-9-91-01
cluster_1	0.2148292883586898	2.72023840776517	0.0	9.971415276208202e-05	239	119	TRAPPC6A,CES2,CTSA,TCEAL4,ANXA4,MAGED2,NEAT1,DAB2,TM7SF2,PSAP,FAM134B,FAM127A,CAMK2N1,SERF2,CTSD,BEST1,ZKSCAN1,GRN,TTC3,SRP14,SOX4,HCFC1R1,KRT8,SLC29A3,TAX1BP3,MUC1,LAPTM4A,EPS8L2,CYBRD1,TUBA1A,GLUL,TACC1,GABARAPL1,DHRS3,HIST1H2AC,NDRG1,IGFBP5,PTGIS,RAB13,OBSL1,MYH14,SH3BGRL,CLIC3,GSN,ITM2B,TRIM29,ALDH3B1,TIPARP,FAM114A1,FBXO2,ELF3,CDKN2B,RARRES3,GOLGA2,DAPK1,TIMP2,PCYOX1,NDUFS2,CIR1,CLU,RPS28,CLSTN3,ZDHHC7,ALPP,SNCG,TMEM59,TMEM132A,EDIL3,ZFAND5,GATA2,GSTK1,RPL28,RNF44,XAF1,CTNND1,RPS14P3,SKIL,NGFRAP1,RPL22,MMP14,PTPRF,ASAH1,NAMPT,CBX6,KLK5,ARFGAP1,CTSH,ERGIC3,KRT13,WBP5,IGFBP3,ADAMTSL4,PABPC3,FOS,SEMA3C,RARRES1,MSLN,LY6E,NEDD9,KLK7,NME3,KRT7,JUNB,NCSTN,SEZ6L2,MUC4,FN1,SIK1,LMO4,UPK2,CST6,PDLIM1,KRT19,TINAGL1,RPL36,CYP1B1,EGR1,RBP1,TNFRSF21	KIN001-265
